id,firstname,email,Salary
1001,Lita,Lita.1001@joker.com,200000
1002,Brooks,Brooks.1002@joker.com,120000
1003,Beth,Beth.1003@joker.com,160000
1004,Gilda,Gilda.1004@joker.com,530000
1005,Giustina,Giustina.1005@joker.com,220000
1006,Tina,Tina.1006@joker.com,580000
1007,Julieta,Julieta.1007@joker.com,150000
1008,Leona,Leona.1008@joker.com,490000
1009,Max,Max.1009@joker.com,430000
1010,Barbi,Barbi.1010@joker.com,100000
1011,Roberta,Roberta.1011@joker.com,250000
1012,Lauryn,Lauryn.1012@joker.com,330000
1013,Aurore,Aurore.1013@joker.com,230000
1014,Maye,Maye.1014@joker.com,200000
1015,Valera,Valera.1015@joker.com,220000



